,index,game,session,round,player,player_id,is_bot,displayed_choice_eta,player_choice_eta,timeChoice,timeResults
287,95,all_apps_wide_2024-12-06,5m4a8uoo,14,gnnpegs2,5,True,,,,
288,96,all_apps_wide_2024-12-06,5m4a8uoo,14,n0oeob1a,6,False,,,,
289,97,all_apps_wide_2024-12-06,5m4a8uoo,14,27vtfec0,7,False,,,,
290,98,all_apps_wide_2024-12-06,5m4a8uoo,15,ciq5t1rm,1,False,,,,
291,99,all_apps_wide_2024-12-06,5m4a8uoo,15,uknfogys,2,False,,,,
292,100,all_apps_wide_2024-12-06,5m4a8uoo,15,0zsu29c4,3,True,,,,
293,101,all_apps_wide_2024-12-06,5m4a8uoo,15,qrad22bv,4,False,,,,
294,102,all_apps_wide_2024-12-06,5m4a8uoo,15,gnnpegs2,5,True,,,,
295,103,all_apps_wide_2024-12-06,5m4a8uoo,15,n0oeob1a,6,False,,,,
296,104,all_apps_wide_2024-12-06,5m4a8uoo,15,27vtfec0,7,False,,,,
297,105,all_apps_wide_2024-12-06,5m4a8uoo,16,ciq5t1rm,1,False,,,,
298,106,all_apps_wide_2024-12-06,5m4a8uoo,16,uknfogys,2,False,,,,
299,107,all_apps_wide_2024-12-06,5m4a8uoo,16,0zsu29c4,3,True,,,,
300,108,all_apps_wide_2024-12-06,5m4a8uoo,16,qrad22bv,4,False,,,,
301,109,all_apps_wide_2024-12-06,5m4a8uoo,16,gnnpegs2,5,True,,,,
302,110,all_apps_wide_2024-12-06,5m4a8uoo,16,n0oeob1a,6,False,,,,
303,111,all_apps_wide_2024-12-06,5m4a8uoo,16,27vtfec0,7,False,,,,
304,112,all_apps_wide_2024-12-06,5m4a8uoo,17,ciq5t1rm,1,False,,,,
305,113,all_apps_wide_2024-12-06,5m4a8uoo,17,uknfogys,2,False,,,,
306,114,all_apps_wide_2024-12-06,5m4a8uoo,17,0zsu29c4,3,True,,,,
307,115,all_apps_wide_2024-12-06,5m4a8uoo,17,qrad22bv,4,False,,,,
308,116,all_apps_wide_2024-12-06,5m4a8uoo,17,gnnpegs2,5,True,,,,
